,,,,,,,,,,,,,,,
,Module,Part Number,QTY,Part Name,Notes,,,,,,,,,,
,01_Gantry (Rail),GPMA-0100000-0-1,1,Ghost_Rail_Top_Assy,"Rev up to ""GPMA-0100000-0-2 Ghost_Rail_Top_Assy""",,,Rails,,,,,,,
,01_Gantry (Rail),GPMA-0100002-0-0,0,3K_Ghost_Rail_EndPl ate_Assy,Removed (2 -> 0),,,GPMA-0100003-0-2,Ghost_Rail_250_Assy,,,,GPCP-0000109-0-0,2,CBE4-15
,01_Gantry (Rail),GPMA-0100031-0-0,2,Rail endplate assy (R),New Assy,,,GPMP-0100004-0-2,,,,,GPCP-0000332-0-0,2,PACK-SCB3-6-YBM
,01_Gantry (Rail),GPMP-0100024-0-3,4,Rail bumper block,New Part,,,GPMA-0100005-0-2,,,,,GPCP-0000331-0-0,8,PACK-SCB5-30-YBM
,01_Gantry (Rail),GPMP-0100031-0-0,2,Rail Endplate (R),New Part,,,,,,,,GPCP-0200018-0-0,1,RCM4-2V0B
,01_Gantry (Rail),GPMA-0100032-0- 0,2,Rail endplate assy (L),New Assy,,,,,,,,GPCP-0000397-0-0,4,FCF-0615E
,01_Gantry (Rail),GPMP-0100032-0-0,2,Rail Endplate (L),New Part,,,End plate assy and slope,,,,,GPCP-0000395-0-0,10,Anti-loosening bolt M5 x 15
,01_Gantry (Rail),GPMP-0100001-0-0,4,3K_Rail_Anchor_Brac ket,"Rev up to ""GPMP-0100001-0-2 3K_Rail_Anchor_Bracket""",,,GPMA-0100031-0-0,2,Rail endplate assy (R),,,GPCP-0000396-0-0,10,Washer_10-5-2
,01_Gantry (Rail),GPCP-0000107-0-0,12,CBE4-10,QTY Increase (0 -> 12),,,GPMA-0100032-0- 0,2,Rail endplate assy (L),,,GPCP-0000333-0-0,18,CBE5-8   ALOK
,01_Gantry (Rail),GPCP-0000293-0-0,12,SPWF4,QTY Increase (0 -> 12),,,GPMP-0100009-0-0,1,3K_Rail_Slope,,,GPCP-0000341-0-0,80,HFBCM4-8 ALOK
